Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
5/28/2019,6/1/2019,Mountain 3,233.88,3156
5/29/2019,6/1/2019,Mountain 1,255.32,2532
5/29/2019,6/1/2019,Mountain 2,140.50,1898
5/29/2019,6/1/2019,Mountain 3,249.98,3505
5/30/2019,6/1/2019,Mountain 1,249.69,2404
5/30/2019,6/1/2019,Mountain 2,147.88,1914
5/30/2019,6/1/2019,Mountain 3,268.74,3926
5/31/2019,6/1/2019,Mountain 1,274.13,2793
5/31/2019,6/1/2019,Mountain 2,163.51,2178
5/31/2019,6/1/2019,Mountain 3,305.86,4514
6/1/2019,6/1/2019,Mountain 1,29.32,95
6/1/2019,6/1/2019,Mountain 2,0.00,0
6/1/2019,6/1/2019,Mountain 3,17.42,52
6/2/2019,6/8/2019,Mountain 1,0.00,0
6/2/2019,6/8/2019,Mountain 2,0.00,0
6/2/2019,6/8/2019,Mountain 3,0.00,0
6/3/2019,6/8/2019,Mountain 1,254.59,2405
6/3/2019,6/8/2019,Mountain 2,169.79,2030
6/3/2019,6/8/2019,Mountain 3,268.94,3653
6/4/2019,6/8/2019,Mountain 1,238.13,2393
6/4/2019,6/8/2019,Mountain 2,132.84,1703
6/4/2019,6/8/2019,Mountain 3,266.06,3673
6/5/2019,6/8/2019,Mountain 1,254.56,2532
6/5/2019,6/8/2019,Mountain 2,153.56,1966
6/5/2019,6/8/2019,Mountain 3,288.77,3940
6/6/2019,6/8/2019,Mountain 1,255.37,2481
6/6/2019,6/8/2019,Mountain 2,154.69,2040
6/6/2019,6/8/2019,Mountain 3,279.61,4067
6/7/2019,6/8/2019,Mountain 1,256.74,2432
6/7/2019,6/8/2019,Mountain 2,156.06,1886
6/7/2019,6/8/2019,Mountain 3,286.63,3851
6/8/2019,6/8/2019,Mountain 1,32.32,91
6/8/2019,6/8/2019,Mountain 2,0.00,0
6/8/2019,6/8/2019,Mountain 3,16.46,97
6/9/2019,6/15/2019,Mountain 1,0.00,0
6/9/2019,6/15/2019,Mountain 2,0.00,0
6/9/2019,6/15/2019,Mountain 3,0.00,0
6/10/2019,6/15/2019,Mountain 1,249.12,2346
6/10/2019,6/15/2019,Mountain 2,153.50,1924
6/10/2019,6/15/2019,Mountain 3,275.53,3633
6/11/2019,6/15/2019,Mountain 1,244.89,2440
6/11/2019,6/15/2019,Mountain 2,146.06,1719
6/11/2019,6/15/2019,Mountain 3,275.44,3594
6/12/2019,6/15/2019,Mountain 1,266.33,2515
6/12/2019,6/15/2019,Mountain 2,155.54,1900
6/12/2019,6/15/2019,Mountain 3,287.29,3910
6/13/2019,6/15/2019,Mountain 1,257.13,2514
6/13/2019,6/15/2019,Mountain 2,157.68,2059
6/13/2019,6/15/2019,Mountain 3,313.40,4072
6/14/2019,6/15/2019,Mountain 1,246.72,2399
